L ((5.5, 1.5), {255, 255, 255}, 1)
L ((9.5, 1.5), {255, 255, 255}, 1)
L ((14.5, 1.5), {255, 255, 255}, 1)
L ((19.5, 1.5), {255, 255, 255}, 1)
L ((24.5, 1.5), {255, 255, 255}, 1)
L ((29.5, 1.5), {255, 255, 255}, 1)
L ((11.5, 2.5), {255, 255, 255}, 1)
L ((23.5, 2.5), {255, 255, 255}, 1)
L ((3.5, 3.5), {255, 255, 255}, 1)
L ((9.5, 3.5), {255, 255, 255}, 1)
L ((15.5, 3.5), {255, 255, 255}, 1)
L ((21.5, 3.5), {255, 255, 255}, 1)
L ((27.5, 3.5), {255, 255, 255}, 1)
L ((5.5, 4.5), {255, 255, 255}, 1)
L ((25.5, 4.5), {255, 255, 255}, 1)
L ((5.5, 5.5), {255, 255, 255}, 1)
L ((9.5, 5.5), {255, 255, 255}, 1)
L ((15.5, 5.5), {255, 255, 255}, 1)
L ((19.5, 5.5), {255, 255, 255}, 1)
L ((27.5, 5.5), {255, 255, 255}, 1)
L ((3.5, 6.5), {255, 255, 255}, 1)
L ((21.5, 6.5), {255, 255, 255}, 1)
L ((3.5, 7.5), {255, 255, 255}, 1)
L ((8.5, 7.5), {255, 255, 255}, 1)
L ((12.5, 7.5), {255, 255, 255}, 1)
L ((17.5, 7.5), {255, 255, 255}, 1)
L ((23.5, 7.5), {255, 255, 255}, 1)
L ((28.5, 7.5), {255, 255, 255}, 1)
L ((7.5, 8.5), {255, 255, 255}, 1)
L ((23.5, 8.5), {255, 255, 255}, 1)
L ((3.5, 9.5), {255, 255, 255}, 1)
L ((9.5, 9.5), {255, 255, 255}, 1)
L ((13.5, 9.5), {255, 255, 255}, 1)
L ((19.5, 9.5), {255, 255, 255}, 1)
L ((23.5, 9.5), {255, 255, 255}, 1)
L ((29.5, 9.5), {255, 255, 255}, 1)
L ((9.5, 10.5), {255, 255, 255}, 1)
L ((29.5, 10.5), {255, 255, 255}, 1)
L ((5.5, 11.5), {255, 255, 255}, 1)
L ((12.5, 11.5), {255, 255, 255}, 1)
L ((16.5, 11.5), {255, 255, 255}, 1)
L ((21.5, 11.5), {255, 255, 255}, 1)
L ((25.5, 11.5), {255, 255, 255}, 1)
L ((29.5, 11.5), {255, 255, 255}, 1)
L ((15.5, 12.5), {255, 255, 255}, 1)
L ((4.5, 13.5), {255, 255, 255}, 1)
L ((11.5, 13.5), {255, 255, 255}, 1)
L ((15.5, 13.5), {255, 255, 255}, 1)
L ((21.5, 13.5), {255, 255, 255}, 1)
L ((26.5, 13.5), {255, 255, 255}, 1)
L ((1.5, 14.5), {255, 255, 255}, 1)
L ((11.5, 14.5), {255, 255, 255}, 1)
L ((21.5, 14.5), {255, 255, 255}, 1)
L ((3.5, 15.5), {255, 255, 255}, 1)
L ((9.5, 15.5), {255, 255, 255}, 1)
L ((15.5, 15.5), {255, 255, 255}, 1)
L ((21.5, 15.5), {255, 255, 255}, 1)
L ((27.5, 15.5), {255, 255, 255}, 1)
L ((7.5, 16.5), {255, 255, 255}, 1)
L ((23.5, 16.5), {255, 255, 255}, 1)
L ((3.5, 17.5), {255, 255, 255}, 1)
L ((8.5, 17.5), {255, 255, 255}, 1)
L ((12.5, 17.5), {255, 255, 255}, 1)
L ((17.5, 17.5), {255, 255, 255}, 1)
L ((23.5, 17.5), {255, 255, 255}, 1)
L ((27.5, 17.5), {255, 255, 255}, 1)
L ((7.5, 18.5), {255, 255, 255}, 1)
L ((21.5, 18.5), {255, 255, 255}, 1)
L ((2.5, 19.5), {255, 255, 255}, 1)
L ((9.5, 19.5), {255, 255, 255}, 1)
L ((15.5, 19.5), {255, 255, 255}, 1)
L ((21.5, 19.5), {255, 255, 255}, 1)
L ((25.5, 19.5), {255, 255, 255}, 1)
L ((29.5, 19.5), {255, 255, 255}, 1)
L ((15.5, 20.5), {255, 255, 255}, 1)
L ((1.5, 21.5), {255, 255, 255}, 1)
L ((7.5, 21.5), {255, 255, 255}, 1)
L ((11.5, 21.5), {255, 255, 255}, 1)
L ((16.5, 21.5), {255, 255, 255}, 1)
L ((21.5, 21.5), {255, 255, 255}, 1)
L ((25.5, 21.5), {255, 255, 255}, 1)
L ((5.5, 22.5), {255, 255, 255}, 1)
L ((19.5, 22.5), {255, 255, 255}, 1)
L ((2.5, 23.5), {255, 255, 255}, 1)
L ((7.5, 23.5), {255, 255, 255}, 1)
L ((12.5, 23.5), {255, 255, 255}, 1)
L ((19.5, 23.5), {255, 255, 255}, 1)
L ((23.5, 23.5), {255, 255, 255}, 1)
L ((29.5, 23.5), {255, 255, 255}, 1)
L ((11.5, 24.5), {255, 255, 255}, 1)
L ((29.5, 24.5), {255, 255, 255}, 1)
L ((7.5, 25.5), {255, 255, 255}, 1)
L ((12.5, 25.5), {255, 255, 255}, 1)
L ((17.5, 25.5), {255, 255, 255}, 1)
L ((22.5, 25.5), {255, 255, 255}, 1)
L ((27.5, 25.5), {255, 255, 255}, 1)
L ((3.5, 26.5), {255, 255, 255}, 1)
L ((25.5, 26.5), {255, 255, 255}, 1)
L ((4.5, 27.5), {255, 255, 255}, 1)
L ((9.5, 27.5), {255, 255, 255}, 1)
L ((14.5, 27.5), {255, 255, 255}, 1)
L ((19.5, 27.5), {255, 255, 255}, 1)
L ((25.5, 27.5), {255, 255, 255}, 1)
L ((29.5, 27.5), {255, 255, 255}, 1)
L ((9.5, 28.5), {255, 255, 255}, 1)
L ((19.5, 28.5), {255, 255, 255}, 1)
L ((1.5, 29.5), {255, 255, 255}, 1)
L ((7.5, 29.5), {255, 255, 255}, 1)
L ((13.5, 29.5), {255, 255, 255}, 1)
L ((18.5, 29.5), {255, 255, 255}, 1)
L ((22.5, 29.5), {255, 255, 255}, 1)
L ((28.5, 29.5), {255, 255, 255}, 1)
